product,date,title,rating,review_list
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 16 July 2018,Honest Review,4.0,"This is probably the most intresting book I've read so far, the writing so the book is amazing and can be easily understand. If you are first time reader then I would definitely recommend this book. It is was originally written in Portuguese and later translated in English.The story is about a boy from Andalsuia and his adventures through African desert to find treasure in Pyramids of Egypt. One can easily relate with the story because we all have our own goals and this book will teach you that no matter how many obstacles come in your way you should never give upAs per the quality of book goes, It's not that great, Pages are low quality. But the texts are readable without getting strain in your eyes. So I can say the quality of book is okayI'm giving 4 star because of the low quality of the book.I hope this review will help you in your buying decision."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 17 August 2018,i love this book,5.0,"There are too many things one can learn from “The Alchemist”. Its all about following your dream and about taking the risk of following your dreams, which is actually so difficult to do and there are very few people in this world who actually do, I mean risk it all, just to follow your heart and your dream. Beauty is, the author is so right in saying that when u decide to follow your dreams the entire universe conspires in your favour which he called as the “beginners luck” and we all have been witness to this beginners luck at one or other point in our lives.Also, he talks about a stage in our journey towards realizing our dreams, where everything just goes haywire and there is everything working against us and it almost takes us to the brink of abandoning everything and just getting back to what was so familiar and comfortable."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 20 October 2017,A Midas touch  !,5.0,"This book is not for you if you are looking for a way to escape reality by immersing into a juicy plot during the week end. This book is about you, me and anyone and everyone .It is about our life, our troubles and tribulations, our goals and the purpose of our existence. To determine our goal ( or Personal Legend as Coelho terms) and to pursue and achieve it is not difficult if we are focused because in the words of Coelho,""..... when you want something, all the universe conspires in helping you to achieve it.""The story is that of a shepard boy named, Santiago ,from Andulasia. The boy embarks upon a journey in search of a treasure that he had dreamt of. Each one of us are, infact, Santiago, unable to realise when and where we spilt 'the spoon of oil '. As you go through the book you learn that all is not lost and there is hope.Narrated in a simple lucid manner,the story is interspersed with metaphors ,fables and allegories. Compelling, interesting and full of hope and positivity, The Alchemist is a bedrock of inspiration that instills a strong sense of faith in yourself.Such is the power of this book that you will want to read it again and again. Paulo Coelho has an uncanny knack to soothe your soul and boost your morale. This book, in my opinion, should be read by everyone, young and old, atleast once ."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 7 March 2019,Most Overhyped overrated Book on planet earth !,1.0,After seeing so many reviews i purchased this book....I was reading on waiting for something miraculous but its just a story of a boy with some Magical scenes of alchemist...And some illusional concepts like Soul of the world...Dont Go for it if you you want to read a book for refreshment as this is Too much dragging...The whole story in nutshell isThe boy dreams of treassure in egypt and believes his dreams to be true...few characters make him follow his dream..Drama Drama Drama...He will find the treassure !
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 27 October 2018,Worst book!!,1.0,It's one of the worst book ever written don't fall for the positive 5 star rating by other people. Just download it's pdf and read it first.Starting is normal but as story progress it becomes completely bad. This is one of the most illogical book exist today which is highly overrated. This book is for religious ppl not ppl who prefer novel for fantasies and stories.
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 30 May 2019,It sucks,1.0,"Worst book i ever read. Its story about a boyhad a dream about treasure. He went to find that treasure with the help of omens lol. When i thought this couldn't go more ridiculous after 80% book is read, wind and sun starts to talk. Shuk what is happening here. In reach the place where he is supposed to find the treasure which is Egypt. Guess what treasure is in the same place he dreamt about it 😂. Wastage of time, have pity on yourself and read something better.  Book fully of superstitions. I mean man just stay away"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 29 August 2018,The lessons are good but the story sucks,3.0,"The philosophy was good ,the hurdles which everybody encounter in the way of pursuing their own dream is to test them which is a fact.This book  made me disappointed as I expected more from it because of the fame it has. The story sucks but the lessons are to be learned from it which are-> follow your heart, heed the voice of it.-> everything in life has it's price-> Life is the moment we are living now-> It's not what enter's men's mouths that's evil, it's  what comes out of their mouths that is.-> No project is completed until it's objective has been achieved.This are the some of the lessons which everyone should learn, although I don't believe in conspiring of whole world for your dream it's just the  thought of whole universe having your back will make your strength and you just tends to push yourself towards your goal."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 19 October 2018,A magical book,5.0,"The Alchemist by Paulo Coelho is the book which I always go back to. I have a different take away whenever I read it and it has helped me to become wiser with time. Basically it is a fable about following your dreams and is a story of a shepherd named Santiago who dares to follow his dream. He faces obstacles, failures and hardship throughout but he decides to hold on to his dream."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 5 March 2019,Deceiving,1.0,"Don’t fall for it. Just a fancy book and flattering cover. The thousand of five star ratings is misleading. An extremely over- rated book. Do not hope anything to learn or gain something from this book instead, use your time and money on a different book."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 14 April 2019,Such a magical book that's why strongly recommend to every classic lover (reader) !!,5.0,""" Reading the Alchemist was like getting up at dawn and seeing the sun rise while the rest of the world still slept."" I've read all type of books but 'The Alchemist' is so different in every aspects.🔖*Book Review*~The Alchemist- By Paulo Coelho.🔖The cover of the book is simple,decent and focusing at the main plot of the story. The book is a light read of approx 160 pages where the author impeccably written the story with very impressive narration, plot and characters. This great book have changed my way of thinking about goals and destiny, completely.🔖""Every man kills the thing he loves.""~The story revolves around a young boy, a shepherd who wants to fulfill his dream to see the great pyramids and find the treasure, that he had seen in his dream. So he went to reach his destiny and in doing so, he met different new souls who helped him to complete his journey to see the pyramids and the treasure.🔖""Your eyes show the strength of your soul.""~He met with a desert girl, Fatima and both fell in love with each other. Later he met with main character of the story, an Alchemist who educated him about the alchemy and helped to achieve his dream. During the journey, the boy learnt many lessons of the desert.🔖The author have so brilliantly written this book with an amazing plots and lessons that i have finished it in less than a day. I strongly recommend this magical piece to every reader who wants to pick their next read (classic).I'm sure after reading this book you will come to know that ""There is only one thing that makes a dream impossible to achieve: the fear of failure.""🔖My ratings- 5/5 ⭐"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 16 July 2018,Honest Review,4.0,"This is probably the most intresting book I've read so far, the writing so the book is amazing and can be easily understand. If you are first time reader then I would definitely recommend this book. It is was originally written in Portuguese and later translated in English.The story is about a boy from Andalsuia and his adventures through African desert to find treasure in Pyramids of Egypt. One can easily relate with the story because we all have our own goals and this book will teach you that no matter how many obstacles come in your way you should never give upAs per the quality of book goes, It's not that great, Pages are low quality. But the texts are readable without getting strain in your eyes. So I can say the quality of book is okayI'm giving 4 star because of the low quality of the book.I hope this review will help you in your buying decision."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 17 August 2018,i love this book,5.0,"There are too many things one can learn from “The Alchemist”. Its all about following your dream and about taking the risk of following your dreams, which is actually so difficult to do and there are very few people in this world who actually do, I mean risk it all, just to follow your heart and your dream. Beauty is, the author is so right in saying that when u decide to follow your dreams the entire universe conspires in your favour which he called as the “beginners luck” and we all have been witness to this beginners luck at one or other point in our lives.Also, he talks about a stage in our journey towards realizing our dreams, where everything just goes haywire and there is everything working against us and it almost takes us to the brink of abandoning everything and just getting back to what was so familiar and comfortable."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 20 October 2017,A Midas touch  !,5.0,"This book is not for you if you are looking for a way to escape reality by immersing into a juicy plot during the week end. This book is about you, me and anyone and everyone .It is about our life, our troubles and tribulations, our goals and the purpose of our existence. To determine our goal ( or Personal Legend as Coelho terms) and to pursue and achieve it is not difficult if we are focused because in the words of Coelho,""..... when you want something, all the universe conspires in helping you to achieve it.""The story is that of a shepard boy named, Santiago ,from Andulasia. The boy embarks upon a journey in search of a treasure that he had dreamt of. Each one of us are, infact, Santiago, unable to realise when and where we spilt 'the spoon of oil '. As you go through the book you learn that all is not lost and there is hope.Narrated in a simple lucid manner,the story is interspersed with metaphors ,fables and allegories. Compelling, interesting and full of hope and positivity, The Alchemist is a bedrock of inspiration that instills a strong sense of faith in yourself.Such is the power of this book that you will want to read it again and again. Paulo Coelho has an uncanny knack to soothe your soul and boost your morale. This book, in my opinion, should be read by everyone, young and old, atleast once ."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 7 March 2019,Most Overhyped overrated Book on planet earth !,1.0,After seeing so many reviews i purchased this book....I was reading on waiting for something miraculous but its just a story of a boy with some Magical scenes of alchemist...And some illusional concepts like Soul of the world...Dont Go for it if you you want to read a book for refreshment as this is Too much dragging...The whole story in nutshell isThe boy dreams of treassure in egypt and believes his dreams to be true...few characters make him follow his dream..Drama Drama Drama...He will find the treassure !
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 27 October 2018,Worst book!!,1.0,It's one of the worst book ever written don't fall for the positive 5 star rating by other people. Just download it's pdf and read it first.Starting is normal but as story progress it becomes completely bad. This is one of the most illogical book exist today which is highly overrated. This book is for religious ppl not ppl who prefer novel for fantasies and stories.
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 30 May 2019,It sucks,1.0,"Worst book i ever read. Its story about a boyhad a dream about treasure. He went to find that treasure with the help of omens lol. When i thought this couldn't go more ridiculous after 80% book is read, wind and sun starts to talk. Shuk what is happening here. In reach the place where he is supposed to find the treasure which is Egypt. Guess what treasure is in the same place he dreamt about it 😂. Wastage of time, have pity on yourself and read something better.  Book fully of superstitions. I mean man just stay away"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 29 August 2018,The lessons are good but the story sucks,3.0,"The philosophy was good ,the hurdles which everybody encounter in the way of pursuing their own dream is to test them which is a fact.This book  made me disappointed as I expected more from it because of the fame it has. The story sucks but the lessons are to be learned from it which are-> follow your heart, heed the voice of it.-> everything in life has it's price-> Life is the moment we are living now-> It's not what enter's men's mouths that's evil, it's  what comes out of their mouths that is.-> No project is completed until it's objective has been achieved.This are the some of the lessons which everyone should learn, although I don't believe in conspiring of whole world for your dream it's just the  thought of whole universe having your back will make your strength and you just tends to push yourself towards your goal."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 19 October 2018,A magical book,5.0,"The Alchemist by Paulo Coelho is the book which I always go back to. I have a different take away whenever I read it and it has helped me to become wiser with time. Basically it is a fable about following your dreams and is a story of a shepherd named Santiago who dares to follow his dream. He faces obstacles, failures and hardship throughout but he decides to hold on to his dream."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 5 March 2019,Deceiving,1.0,"Don’t fall for it. Just a fancy book and flattering cover. The thousand of five star ratings is misleading. An extremely over- rated book. Do not hope anything to learn or gain something from this book instead, use your time and money on a different book."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 14 April 2019,Such a magical book that's why strongly recommend to every classic lover (reader) !!,5.0,""" Reading the Alchemist was like getting up at dawn and seeing the sun rise while the rest of the world still slept."" I've read all type of books but 'The Alchemist' is so different in every aspects.🔖*Book Review*~The Alchemist- By Paulo Coelho.🔖The cover of the book is simple,decent and focusing at the main plot of the story. The book is a light read of approx 160 pages where the author impeccably written the story with very impressive narration, plot and characters. This great book have changed my way of thinking about goals and destiny, completely.🔖""Every man kills the thing he loves.""~The story revolves around a young boy, a shepherd who wants to fulfill his dream to see the great pyramids and find the treasure, that he had seen in his dream. So he went to reach his destiny and in doing so, he met different new souls who helped him to complete his journey to see the pyramids and the treasure.🔖""Your eyes show the strength of your soul.""~He met with a desert girl, Fatima and both fell in love with each other. Later he met with main character of the story, an Alchemist who educated him about the alchemy and helped to achieve his dream. During the journey, the boy learnt many lessons of the desert.🔖The author have so brilliantly written this book with an amazing plots and lessons that i have finished it in less than a day. I strongly recommend this magical piece to every reader who wants to pick their next read (classic).I'm sure after reading this book you will come to know that ""There is only one thing that makes a dream impossible to achieve: the fear of failure.""🔖My ratings- 5/5 ⭐"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 16 July 2018,Honest Review,4.0,"This is probably the most intresting book I've read so far, the writing so the book is amazing and can be easily understand. If you are first time reader then I would definitely recommend this book. It is was originally written in Portuguese and later translated in English.The story is about a boy from Andalsuia and his adventures through African desert to find treasure in Pyramids of Egypt. One can easily relate with the story because we all have our own goals and this book will teach you that no matter how many obstacles come in your way you should never give upAs per the quality of book goes, It's not that great, Pages are low quality. But the texts are readable without getting strain in your eyes. So I can say the quality of book is okayI'm giving 4 star because of the low quality of the book.I hope this review will help you in your buying decision."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 17 August 2018,i love this book,5.0,"There are too many things one can learn from “The Alchemist”. Its all about following your dream and about taking the risk of following your dreams, which is actually so difficult to do and there are very few people in this world who actually do, I mean risk it all, just to follow your heart and your dream. Beauty is, the author is so right in saying that when u decide to follow your dreams the entire universe conspires in your favour which he called as the “beginners luck” and we all have been witness to this beginners luck at one or other point in our lives.Also, he talks about a stage in our journey towards realizing our dreams, where everything just goes haywire and there is everything working against us and it almost takes us to the brink of abandoning everything and just getting back to what was so familiar and comfortable."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 20 October 2017,A Midas touch  !,5.0,"This book is not for you if you are looking for a way to escape reality by immersing into a juicy plot during the week end. This book is about you, me and anyone and everyone .It is about our life, our troubles and tribulations, our goals and the purpose of our existence. To determine our goal ( or Personal Legend as Coelho terms) and to pursue and achieve it is not difficult if we are focused because in the words of Coelho,""..... when you want something, all the universe conspires in helping you to achieve it.""The story is that of a shepard boy named, Santiago ,from Andulasia. The boy embarks upon a journey in search of a treasure that he had dreamt of. Each one of us are, infact, Santiago, unable to realise when and where we spilt 'the spoon of oil '. As you go through the book you learn that all is not lost and there is hope.Narrated in a simple lucid manner,the story is interspersed with metaphors ,fables and allegories. Compelling, interesting and full of hope and positivity, The Alchemist is a bedrock of inspiration that instills a strong sense of faith in yourself.Such is the power of this book that you will want to read it again and again. Paulo Coelho has an uncanny knack to soothe your soul and boost your morale. This book, in my opinion, should be read by everyone, young and old, atleast once ."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 7 March 2019,Most Overhyped overrated Book on planet earth !,1.0,After seeing so many reviews i purchased this book....I was reading on waiting for something miraculous but its just a story of a boy with some Magical scenes of alchemist...And some illusional concepts like Soul of the world...Dont Go for it if you you want to read a book for refreshment as this is Too much dragging...The whole story in nutshell isThe boy dreams of treassure in egypt and believes his dreams to be true...few characters make him follow his dream..Drama Drama Drama...He will find the treassure !
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 27 October 2018,Worst book!!,1.0,It's one of the worst book ever written don't fall for the positive 5 star rating by other people. Just download it's pdf and read it first.Starting is normal but as story progress it becomes completely bad. This is one of the most illogical book exist today which is highly overrated. This book is for religious ppl not ppl who prefer novel for fantasies and stories.
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 30 May 2019,It sucks,1.0,"Worst book i ever read. Its story about a boyhad a dream about treasure. He went to find that treasure with the help of omens lol. When i thought this couldn't go more ridiculous after 80% book is read, wind and sun starts to talk. Shuk what is happening here. In reach the place where he is supposed to find the treasure which is Egypt. Guess what treasure is in the same place he dreamt about it 😂. Wastage of time, have pity on yourself and read something better.  Book fully of superstitions. I mean man just stay away"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 29 August 2018,The lessons are good but the story sucks,3.0,"The philosophy was good ,the hurdles which everybody encounter in the way of pursuing their own dream is to test them which is a fact.This book  made me disappointed as I expected more from it because of the fame it has. The story sucks but the lessons are to be learned from it which are-> follow your heart, heed the voice of it.-> everything in life has it's price-> Life is the moment we are living now-> It's not what enter's men's mouths that's evil, it's  what comes out of their mouths that is.-> No project is completed until it's objective has been achieved.This are the some of the lessons which everyone should learn, although I don't believe in conspiring of whole world for your dream it's just the  thought of whole universe having your back will make your strength and you just tends to push yourself towards your goal."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 19 October 2018,A magical book,5.0,"The Alchemist by Paulo Coelho is the book which I always go back to. I have a different take away whenever I read it and it has helped me to become wiser with time. Basically it is a fable about following your dreams and is a story of a shepherd named Santiago who dares to follow his dream. He faces obstacles, failures and hardship throughout but he decides to hold on to his dream."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 5 March 2019,Deceiving,1.0,"Don’t fall for it. Just a fancy book and flattering cover. The thousand of five star ratings is misleading. An extremely over- rated book. Do not hope anything to learn or gain something from this book instead, use your time and money on a different book."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 14 April 2019,Such a magical book that's why strongly recommend to every classic lover (reader) !!,5.0,""" Reading the Alchemist was like getting up at dawn and seeing the sun rise while the rest of the world still slept."" I've read all type of books but 'The Alchemist' is so different in every aspects.🔖*Book Review*~The Alchemist- By Paulo Coelho.🔖The cover of the book is simple,decent and focusing at the main plot of the story. The book is a light read of approx 160 pages where the author impeccably written the story with very impressive narration, plot and characters. This great book have changed my way of thinking about goals and destiny, completely.🔖""Every man kills the thing he loves.""~The story revolves around a young boy, a shepherd who wants to fulfill his dream to see the great pyramids and find the treasure, that he had seen in his dream. So he went to reach his destiny and in doing so, he met different new souls who helped him to complete his journey to see the pyramids and the treasure.🔖""Your eyes show the strength of your soul.""~He met with a desert girl, Fatima and both fell in love with each other. Later he met with main character of the story, an Alchemist who educated him about the alchemy and helped to achieve his dream. During the journey, the boy learnt many lessons of the desert.🔖The author have so brilliantly written this book with an amazing plots and lessons that i have finished it in less than a day. I strongly recommend this magical piece to every reader who wants to pick their next read (classic).I'm sure after reading this book you will come to know that ""There is only one thing that makes a dream impossible to achieve: the fear of failure.""🔖My ratings- 5/5 ⭐"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 16 July 2018,Honest Review,4.0,"This is probably the most intresting book I've read so far, the writing so the book is amazing and can be easily understand. If you are first time reader then I would definitely recommend this book. It is was originally written in Portuguese and later translated in English.The story is about a boy from Andalsuia and his adventures through African desert to find treasure in Pyramids of Egypt. One can easily relate with the story because we all have our own goals and this book will teach you that no matter how many obstacles come in your way you should never give upAs per the quality of book goes, It's not that great, Pages are low quality. But the texts are readable without getting strain in your eyes. So I can say the quality of book is okayI'm giving 4 star because of the low quality of the book.I hope this review will help you in your buying decision."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 17 August 2018,i love this book,5.0,"There are too many things one can learn from “The Alchemist”. Its all about following your dream and about taking the risk of following your dreams, which is actually so difficult to do and there are very few people in this world who actually do, I mean risk it all, just to follow your heart and your dream. Beauty is, the author is so right in saying that when u decide to follow your dreams the entire universe conspires in your favour which he called as the “beginners luck” and we all have been witness to this beginners luck at one or other point in our lives.Also, he talks about a stage in our journey towards realizing our dreams, where everything just goes haywire and there is everything working against us and it almost takes us to the brink of abandoning everything and just getting back to what was so familiar and comfortable."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 20 October 2017,A Midas touch  !,5.0,"This book is not for you if you are looking for a way to escape reality by immersing into a juicy plot during the week end. This book is about you, me and anyone and everyone .It is about our life, our troubles and tribulations, our goals and the purpose of our existence. To determine our goal ( or Personal Legend as Coelho terms) and to pursue and achieve it is not difficult if we are focused because in the words of Coelho,""..... when you want something, all the universe conspires in helping you to achieve it.""The story is that of a shepard boy named, Santiago ,from Andulasia. The boy embarks upon a journey in search of a treasure that he had dreamt of. Each one of us are, infact, Santiago, unable to realise when and where we spilt 'the spoon of oil '. As you go through the book you learn that all is not lost and there is hope.Narrated in a simple lucid manner,the story is interspersed with metaphors ,fables and allegories. Compelling, interesting and full of hope and positivity, The Alchemist is a bedrock of inspiration that instills a strong sense of faith in yourself.Such is the power of this book that you will want to read it again and again. Paulo Coelho has an uncanny knack to soothe your soul and boost your morale. This book, in my opinion, should be read by everyone, young and old, atleast once ."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 7 March 2019,Most Overhyped overrated Book on planet earth !,1.0,After seeing so many reviews i purchased this book....I was reading on waiting for something miraculous but its just a story of a boy with some Magical scenes of alchemist...And some illusional concepts like Soul of the world...Dont Go for it if you you want to read a book for refreshment as this is Too much dragging...The whole story in nutshell isThe boy dreams of treassure in egypt and believes his dreams to be true...few characters make him follow his dream..Drama Drama Drama...He will find the treassure !
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 27 October 2018,Worst book!!,1.0,It's one of the worst book ever written don't fall for the positive 5 star rating by other people. Just download it's pdf and read it first.Starting is normal but as story progress it becomes completely bad. This is one of the most illogical book exist today which is highly overrated. This book is for religious ppl not ppl who prefer novel for fantasies and stories.
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 30 May 2019,It sucks,1.0,"Worst book i ever read. Its story about a boyhad a dream about treasure. He went to find that treasure with the help of omens lol. When i thought this couldn't go more ridiculous after 80% book is read, wind and sun starts to talk. Shuk what is happening here. In reach the place where he is supposed to find the treasure which is Egypt. Guess what treasure is in the same place he dreamt about it 😂. Wastage of time, have pity on yourself and read something better.  Book fully of superstitions. I mean man just stay away"
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 29 August 2018,The lessons are good but the story sucks,3.0,"The philosophy was good ,the hurdles which everybody encounter in the way of pursuing their own dream is to test them which is a fact.This book  made me disappointed as I expected more from it because of the fame it has. The story sucks but the lessons are to be learned from it which are-> follow your heart, heed the voice of it.-> everything in life has it's price-> Life is the moment we are living now-> It's not what enter's men's mouths that's evil, it's  what comes out of their mouths that is.-> No project is completed until it's objective has been achieved.This are the some of the lessons which everyone should learn, although I don't believe in conspiring of whole world for your dream it's just the  thought of whole universe having your back will make your strength and you just tends to push yourself towards your goal."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 19 October 2018,A magical book,5.0,"The Alchemist by Paulo Coelho is the book which I always go back to. I have a different take away whenever I read it and it has helped me to become wiser with time. Basically it is a fable about following your dreams and is a story of a shepherd named Santiago who dares to follow his dream. He faces obstacles, failures and hardship throughout but he decides to hold on to his dream."
Amazon.in:Customer reviews: The Alchemist,Reviewed in India on 5 March 2019,Deceiving,1.0,"Don’t fall for it. Just a fancy book and flattering cover. The thousand of five star ratings is misleading. An extremely over- rated book. Do not hope anything to learn or gain something from this book instead, use your time and money on a different book."
